,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City
12,0x4598,RANCHIRES14DEL03,35.00,4.80,0.00,0.00,0.06,0.06,01-04-2022,22:15,22:25,Sunny,Low,2,Snack,scooter,0.00,No,Metropolitian
13,0xbd51,BANGRES11DEL01,33.000000,4.800000,12.934365,77.616155,13.044365,77.726155,16-03-2022,23:40,23:55,Windy,Low,2,Drinks,electric_scooter,0.000000,No,Urban
14,0x73ec,RANCHIRES010DEL03,36.000000,4.600000,23.354422,85.332900,23.414422,85.392900,17-03-2022,21:30,21:40,Fog,Jam,1,Meal,scooter,0.000000,No,Metropolitian
15,0x5ca7,HYDRES19DEL03,34.000000,4.600000,17.458998,78.500366,17.488998,78.530366,01-04-2022,20:35,20:50,Cloudy,Jam,2,Snack,electric_scooter,0.000000,No,Metropolitian
16,0x9fa6,COIMBRES03DEL03,38.000000,4.200000,11.025083,77.015393,11.055083,77.045393,15-03-2022,20:30,20:35,Windy,Jam,2,Buffet,motorcycle,1.000000,No,Metropolitian
17,0x914e,HYDRES12DEL02,34.000000,4.600000,17.429585,78.392621,17.559585,78.522621,14-03-2022,21:55,22:10,Sunny,Jam,2,Snack,scooter,0.000000,No,Metropolitian
18,0x36e5,CHENRES20DEL03,37.000000,4.700000,12.975996,80.221898,13.005996,80.251898,24-03-2022,18:35,18:50,Cloudy,Medium,2,Snack,scooter,0.000000,No,Metropolitian
19,0xd82e,KOCRES09DEL02,21.000000,4.500000,10.000706,76.349516,10.130706,76.479516,16-02-2022,21:20,21:25,Stormy,Jam,1,Drinks,scooter,1.000000,No,Urban
20,0x1df3,JAPRES20DEL03,28.000000,2.700000,26.956431,75.776649,27.046431,75.866649,04-03-2022,22:10,22:20,Sunny,Low,1,Meal,scooter,1.000000,No,Metropolitian
21,0xa65,PUNERES03DEL02,31.000000,4.700000,18.554382,73.798206,18.604382,73.848206,09-03-2022,21:55,21:60,Cloudy,Jam,0,Buffet,motorcycle,1.000000,No,Metropolitian
22,0x8b83,BANGRES13DEL03,37.000000,4.500000,12.935662,77.614130,12.995662,77.674130,01-04-2022,20:20,20:25,Sunny,Jam,0,Drinks,motorcycle,1.000000,No,Urban
23,0x5b95,HYDRES12DEL03,38.000000,4.600000,17.429585,78.392621,17.459585,78.422621,17-03-2022,18:35,18:45,Sandstorms,Medium,2,Meal,scooter,0.000000,No,Urban
24,0xaa43,COIMBRES05DEL02,30.000000,5.000000,11.022169,76.999594,11.042169,77.019594,05-03-2022,11:60,12:15,Stormy,High,2,Meal,scooter,0.000000,No,Urban
25,0x9995,HYDRES18DEL03,22.000000,4.800000,17.450851,78.379347,17.510851,78.439347,19-03-2022,20:30,20:40,Fog,Jam,0,Snack,motorcycle,1.000000,No,Metropolitian
26,0x1018,INDORES20DEL02,38.000000,4.700000,22.732225,75.874765,22.782225,75.924765,13-03-2022,20:20,20:30,Windy,Jam,0,Drinks,motorcycle,1.000000,No,NaN
27,0x4af3,HYDRES08DEL03,38.000000,4.600000,17.438263,78.397865,17.468263,78.427865,09-03-2022,18:60,19:10,Fog,Medium,2,Snack,motorcycle,0.000000,No,NaN
28,0x87a1,MYSRES03DEL01,29.000000,4.700000,12.299524,76.642620,12.309524,76.652620,01-04-2022,8:25,8:30,Fog,Low,0,Meal,motorcycle,0.000000,No,Metropolitian
29,0xb64c,COIMBRES01DEL02,21.000000,4.700000,11.016298,76.972076,11.036298,76.992076,30-03-2022,9:55,9:60,Cloudy,Low,2,Snack,scooter,0.000000,No,Urban
30,0x4b7e,COIMBRES17DEL02,20.000000,5.000000,11.026117,76.944652,11.156117,77.074652,08-03-2022,23:60,24:15,Windy,Low,1,Buffet,scooter,0.000000,No,Metropolitian
31,0x252d,SURRES03DEL01,22.000000,4.300000,21.186884,72.793616,21.196884,72.803616,24-03-2022,9:35,9:40,Windy,Low,0,Drinks,motorcycle,1.000000,No,Urban
32,0x368e,SURRES11DEL02,23.000000,4.700000,21.157735,72.768778,21.177735,72.788778,05-03-2022,8:25,8:30,Sunny,Low,1,Meal,scooter,1.000000,No,Urban
33,0xe09,CHENRES08DEL03,29.000000,4.700000,13.022394,80.242439,13.052394,80.272439,07-03-2022,19:15,19:20,Stormy,Jam,1,Meal,scooter,0.000000,No,Metropolitian
34,0x39aa,RANCHIRES09DEL02,36.000000,4.700000,23.351058,85.325731,23.431058,85.405731,10-03-2022,19:15,19:30,Sandstorms,Jam,2,Snack,electric_scooter,1.000000,No,Urban
35,0xb542,RANCHIRES19DEL02,39.000000,3.800000,23.333017,85.317200,23.463017,85.447200,16-03-2022,18:20,18:35,Windy,Medium,2,Meal,motorcycle,0.000000,No,Metropolitian
36,0x7604,JAPRES02DEL02,20.000000,4.600000,26.914142,75.805704,26.964142,75.855704,01-04-2022,18:35,18:40,Fog,Medium,1,Meal,motorcycle,1.000000,No,Urban
37,0x597c,COIMBRES12DEL02,31.000000,4.100000,11.000762,76.981876,11.130762,77.111876,14-03-2022,18:60,19:05,Sandstorms,Medium,0,Buffet,motorcycle,2.000000,No,Metropolitian
38,0x184f,COIMBRES05DEL01,39.000000,4.700000,11.022169,76.999594,11.032169,77.009594,05-04-2022,8:55,9:10,Sunny,Low,2,Snack,scooter,1.000000,No,Urban
39,0x9442,HYDRES09DEL01,26.000000,4.700000,17.431668,78.408321,17.471668,78.448321,05-04-2022,14:55,15:10,Windy,High,0,Snack,motorcycle,1.000000,No,Metropolitian
40,0x84e,SURRES04DEL02,20.000000,4.800000,21.173493,72.801953,21.193493,72.821953,03-04-2022,11:20,11:35,Stormy,High,2,Drinks,motorcycle,1.000000,No,Metropolitian
41,0xa6ba,HYDRES01DEL03,35.000000,4.700000,17.410371,78.437225,17.440371,78.467225,09-03-2022,19:45,19:60,Cloudy,Jam,1,Buffet,scooter,1.000000,No,Metropolitian
42,0xb66b,INDORES01DEL03,26.000000,4.900000,22.695207,75.866059,22.755207,75.926059,11-03-2022,19:25,19:35,Windy,Jam,1,Drinks,motorcycle,1.000000,No,NaN
43,0x9bb,VADRES16DEL01,23.00,4.40,0.00,0.00,0.01,0.01,24-03-2022,10:20,10:30,Windy,Low,0,Snack,motorcycle,0.00,No,Metropolitian
44,0x8d9a,CHENRES09DEL03,30.000000,5.000000,13.044694,80.261470,13.134694,80.351470,04-04-2022,23:60,24:10,Sandstorms,Low,1,Buffet,motorcycle,0.000000,No,Metropolitian
45,0x869f,MYSRES13DEL01,30.000000,4.400000,12.310972,76.659264,12.380972,76.729264,02-03-2022,18:50,18:55,Windy,Medium,0,Meal,motorcycle,1.000000,No,Metropolitian
46,0xc587,LUDHRES12DEL01,39.000000,4.100000,30.893244,75.821817,30.903244,75.831817,11-02-2022,11:10,11:15,Windy,High,0,Buffet,motorcycle,3.000000,No,Metropolitian
47,0x3167,COIMBRES02DEL02,23.000000,4.600000,11.022477,76.995667,11.152477,77.125667,18-03-2022,20:15,20:30,Sandstorms,Jam,2,Buffet,motorcycle,0.000000,No,Metropolitian
48,0x4981,CHENRES02DEL03,35.000000,4.700000,13.086438,80.220672,13.146439,80.280672,05-03-2022,20:20,20:30,Sunny,Jam,0,Buffet,motorcycle,1.000000,No,Urban
49,0x4c83,COIMBRES05DEL03,27.000000,4.400000,11.022169,76.999594,11.052169,77.029594,03-03-2022,22:35,22:40,Windy,Low,0,Meal,motorcycle,1.000000,No,Urban
50,0x2493,CHENRES03DEL01,28.000000,5.000000,13.091809,80.219104,13.201809,80.329104,23-03-2022,22:35,22:40,Windy,Low,2,Meal,motorcycle,0.000000,No,Metropolitian
51,0x21a5,INDORES01DEL02,33.000000,4.800000,22.695207,75.866059,22.745207,75.916059,07-03-2022,17:25,17:40,Sunny,Medium,2,Buffet,motorcycle,1.000000,No,Metropolitian
52,0x5571,MYSRES02DEL02,21.000000,4.800000,12.304569,76.643622,12.354569,76.693622,03-04-2022,22:50,23:05,Windy,Low,2,Drinks,motorcycle,0.000000,No,Urban
53,0x45b1,PUNERES13DEL03,34.000000,4.400000,18.562450,73.916619,18.592450,73.946619,24-03-2022,19:45,19:60,Cloudy,Jam,2,Snack,scooter,1.000000,No,Metropolitian
54,0xb1f0,JAPRES12DEL03,28.000000,4.600000,26.902908,75.792934,27.042908,75.932934,08-03-2022,22:45,22:60,Cloudy,Low,1,Snack,motorcycle,1.000000,No,Metropolitian
55,0x75d9,CHENRES06DEL03,27.000000,4.700000,13.054347,80.257221,13.114347,80.317221,26-03-2022,20:10,20:15,Windy,Jam,0,Drinks,motorcycle,1.000000,No,Urban
56,0x46dd,VADRES06DEL01,36.000000,4.900000,22.312790,73.170283,22.382790,73.240283,20-03-2022,17:60,18:10,Sunny,Medium,0,Drinks,motorcycle,0.000000,No,Metropolitian
57,0xc002,AGRRES03DEL03,NaN,NaN,-27.160832,-78.011608,27.220832,78.071608,11-02-2022,NaN,18:25,NaN,NaN,3,Meal,electric_scooter,1.000000,No,Urban
58,0x95e5,BANGRES15DEL02,36.000000,4.100000,12.975377,77.696664,12.995377,77.716664,03-03-2022,8:50,8:60,Windy,Low,0,Drinks,motorcycle,1.000000,No,Metropolitian
59,0x1c1f,VADRES14DEL02,24.000000,4.800000,22.311603,73.165012,22.441603,73.295012,20-03-2022,22:60,23:10,Windy,Low,0,Meal,motorcycle,0.000000,No,Metropolitian
60,0x45bd,BANGRES05DEL03,23.000000,4.900000,12.970324,77.645748,13.060324,77.735748,04-03-2022,23:15,23:20,Windy,Low,0,Buffet,motorcycle,0.000000,No,Metropolitian
61,0xb986,MYSRES04DEL02,20.000000,4.500000,12.308500,76.665808,12.438500,76.795808,04-04-2022,22:60,23:05,Fog,Low,1,Snack,motorcycle,1.000000,No,Metropolitian
62,0x1761,INDORES18DEL02,26.000000,4.800000,22.753839,75.897429,22.833838,75.977429,10-03-2022,19:35,19:40,Fog,Jam,0,Snack,motorcycle,3.000000,No,Metropolitian
63,0xb84c,MYSRES16DEL03,33.000000,4.100000,12.316967,76.603067,12.346967,76.633067,05-04-2022,22:35,22:50,Stormy,Low,0,Drinks,motorcycle,1.000000,No,Metropolitian
64,0x69c3,PUNERES03DEL01,36.000000,4.100000,18.554382,73.798206,18.594382,73.838206,21-03-2022,16:10,16:25,Windy,Medium,0,Buffet,motorcycle,1.000000,No,Metropolitian
65,0xd68c,LUDHRES010DEL03,39.000000,4.900000,30.892860,75.822199,30.982860,75.912199,12-02-2022,19:55,20:05,Fog,Jam,0,Buffet,motorcycle,1.000000,No,Urban
66,0xd05f,DEHRES02DEL01,30.00,4.70,0.00,0.00,0.11,0.11,14-02-2022,21:55,21:60,Cloudy,Jam,0,Snack,motorcycle,2.00,No,Metropolitian
67,0xb5f0,RANCHIRES06DEL01,37.000000,4.500000,23.357804,85.325146,23.367804,85.335146,05-04-2022,10:30,10:40,Sandstorms,Low,2,Drinks,scooter,1.000000,No,Metropolitian
68,0x69a8,INDORES07DEL01,30.000000,4.600000,22.722634,75.886959,22.762634,75.926959,05-04-2022,14:20,14:30,Fog,High,1,Snack,scooter,1.000000,No,Urban
69,0xc9c5,BHPRES17DEL01,28.000000,4.100000,23.218998,77.373573,23.288998,77.443573,16-02-2022,17:30,17:35,Fog,Medium,2,Drinks,scooter,1.000000,No,Metropolitian
70,0x478e,JAPRES07DEL02,23.000000,4.800000,26.766536,75.837333,26.896536,75.967333,23-03-2022,23:20,23:30,Cloudy,Low,1,Snack,motorcycle,1.000000,No,Urban
71,0x12dd,MUMRES09DEL01,37.000000,5.000000,18.994049,72.825203,19.004049,72.835203,07-03-2022,11:55,11:60,Sunny,High,0,Snack,motorcycle,1.000000,No,Metropolitian
72,0x78e3,COIMBRES07DEL01,38.000000,4.800000,10.961850,76.971082,11.001850,77.011082,17-03-2022,15:35,15:40,Cloudy,Medium,1,Meal,motorcycle,1.000000,No,Metropolitian
73,0x1661,INDORES15DEL02,25.000000,5.000000,22.760072,75.892574,22.890072,76.022574,06-04-2022,22:45,22:60,Cloudy,Low,2,Drinks,scooter,1.000000,No,Metropolitian
74,0xcb17,ALHRES06DEL02,25.00,4.90,0.00,0.00,0.02,0.02,17-02-2022,9:60,10:15,Sunny,Low,1,Buffet,scooter,0.00,No,Metropolitian
75,0xdff4,DEHRES19DEL02,32.000000,4.700000,30.372202,78.077151,30.502202,78.207151,12-02-2022,23:30,23:40,Windy,Low,1,Buffet,scooter,1.000000,No,Urban
76,0x75c3,PUNERES18DEL01,24.000000,4.500000,18.593481,73.785901,18.703481,73.895901,04-03-2022,22:50,22:60,Windy,Low,0,Buffet,motorcycle,1.000000,No,Metropolitian
77,0xceb4,ALHRES16DEL01,26.000000,4.600000,25.450377,81.834236,25.460377,81.844236,11-02-2022,10:40,10:45,Fog,Low,0,Drinks,motorcycle,1.000000,No,Urban
78,0x8ae4,INDORES03DEL01,29.000000,4.700000,22.751857,75.866699,22.821857,75.936699,10-03-2022,20:15,20:30,Sunny,Jam,2,Meal,motorcycle,1.000000,No,Metropolitian
79,0xdb61,BHPRES12DEL03,35.00,4.80,0.00,0.00,0.09,0.09,18-02-2022,21:55,22:05,Sunny,Jam,2,Snack,scooter,1.00,No,Metropolitian
80,0x790,INDORES15DEL03,29.000000,4.900000,22.760072,75.892574,22.850072,75.982574,14-03-2022,22:20,22:35,Windy,Low,1,Meal,scooter,0.000000,No,Urban
81,0x8968,BANGRES18DEL02,23.000000,4.600000,12.913041,77.683237,12.933041,77.703237,17-03-2022,11:25,11:30,Cloudy,High,1,Snack,motorcycle,1.000000,No,Metropolitian
82,0xa39a,MUMRES06DEL01,35.000000,4.700000,19.055831,72.833984,19.095831,72.873984,11-03-2022,15:20,15:25,Sunny,Medium,2,Snack,motorcycle,1.000000,No,Urban
83,0x8826,RANCHIRES04DEL02,37.000000,4.800000,23.359033,85.325347,23.379033,85.345347,01-03-2022,11:35,11:50,Windy,High,2,Meal,electric_scooter,1.000000,No,Urban
84,0x4c8c,MYSRES04DEL01,36.000000,4.900000,12.308500,76.665808,12.378500,76.735808,29-03-2022,22:50,22:55,Sunny,Low,1,Buffet,scooter,1.000000,No,Metropolitian
85,0x103c,SURRES19DEL03,37.000000,3.900000,21.149669,72.772629,21.239669,72.862629,06-03-2022,21:25,21:40,Sandstorms,Jam,1,Buffet,scooter,1.000000,No,Metropolitian
86,0x98a8,MYSRES17DEL02,27.000000,4.900000,12.326356,76.619103,12.346356,76.639103,03-04-2022,8:10,8:20,Sandstorms,Low,1,Drinks,scooter,0.000000,No,Urban
87,0xb338,PUNERES14DEL03,34.000000,4.600000,18.516216,73.842527,18.546216,73.872527,05-04-2022,21:60,22:15,Windy,Jam,2,Buffet,scooter,0.000000,No,Metropolitian
88,0x366d,BANGRES05DEL03,24.000000,4.500000,12.970324,77.645748,13.030324,77.705748,05-03-2022,18:40,18:50,Fog,Medium,1,Drinks,motorcycle,1.000000,No,Metropolitian
89,0x7d75,CHENRES13DEL02,21.000000,4.900000,13.027018,80.254791,13.077018,80.304791,24-03-2022,18:35,18:45,Sunny,Medium,2,Drinks,scooter,1.000000,No,Urban
90,0x6d30,SURRES16DEL03,30.000000,4.200000,21.160437,72.774209,21.250437,72.864209,25-03-2022,19:25,19:40,Fog,Jam,1,Drinks,motorcycle,1.000000,No,Metropolitian
91,0x616f,MUMRES07DEL02,NaN,NaN,19.091458,72.827808,19.221458,72.957808,25-03-2022,NaN,20:05,NaN,NaN,3,Buffet,motorcycle,1.000000,No,Metropolitian
92,0x9ee3,INDORES14DEL01,36.000000,4.500000,22.761593,75.886362,22.871593,75.996362,18-03-2022,23:60,24:10,Windy,Low,0,Drinks,motorcycle,1.000000,No,Urban
93,0x4d82,JAPRES010DEL01,35.000000,4.800000,26.921411,75.793604,26.991411,75.863604,16-03-2022,22:50,22:55,Windy,Low,0,Meal,motorcycle,1.000000,No,Metropolitian
94,0xb757,PUNERES04DEL01,38.000000,4.600000,18.514210,73.838429,18.554210,73.878429,05-04-2022,16:35,16:50,Fog,Medium,0,Snack,motorcycle,0.000000,No,Urban
95,0x2e53,COIMBRES09DEL01,23.000000,5.000000,11.008638,76.984311,11.018638,76.994311,05-04-2022,10:15,10:25,Fog,Low,0,Meal,motorcycle,0.000000,No,Metropolitian
96,0xd686,ALHRES11DEL03,35.00,4.60,0.00,0.00,0.09,0.09,14-02-2022,17:25,17:30,Sunny,Medium,1,Drinks,scooter,1.00,No,Metropolitian
97,0x828d,MYSRES13DEL01,26.000000,4.800000,12.310972,76.659264,12.320972,76.669264,19-03-2022,10:45,10:50,Windy,Low,1,Buffet,motorcycle,1.000000,No,Urban
98,0xb9f5,MYSRES17DEL02,24.000000,4.600000,12.326356,76.619103,12.406356,76.699103,27-03-2022,22:60,23:10,Fog,Low,1,Drinks,motorcycle,1.000000,No,Metropolitian
99,0x73c4,VADRES07DEL02,31.00,4.90,0.00,0.00,0.05,0.05,21-03-2022,20:25,20:40,Windy,Jam,0,Drinks,motorcycle,1.00,No,Urban
100,0xd427,AGRRES07DEL02,31.000000,4.900000,27.160934,78.044095,27.210934,78.094095,13-02-2022,19:20,19:35,Sunny,Jam,0,Meal,motorcycle,NaN,No,Metropolitian
101,0xc009,KOLRES03DEL02,NaN,NaN,-22.526461,-88.364453,22.656461,88.494453,18-02-2022,NaN,20:10,Sandstorms,Jam,0,Snack,motorcycle,1.000000,No,Metropolitian
102,0x7030,RANCHIRES03DEL03,26.00,4.70,0.00,0.00,0.09,0.09,02-04-2022,19:10,19:20,Stormy,Jam,2,Drinks,electric_scooter,0.00,No,Metropolitian
103,0xc500,AGRRES08DEL02,35.000000,4.900000,27.160934,78.044095,27.180934,78.064095,17-02-2022,10:40,10:55,Cloudy,Low,0,Meal,motorcycle,1.000000,No,Metropolitian
104,0xd0f4,LUDHRES01DEL02,24.000000,4.800000,30.873988,75.842739,30.893988,75.862739,13-02-2022,10:15,10:30,Sandstorms,Low,1,Snack,motorcycle,NaN,No,Urban
105,0x6e8c,INDORES010DEL02,27.000000,4.600000,22.750040,75.902847,22.800040,75.952847,30-03-2022,21:25,21:35,Stormy,Jam,1,Buffet,motorcycle,0.000000,No,Metropolitian
106,0xa1ee,JAPRES20DEL02,36.000000,4.300000,26.956431,75.776649,26.976431,75.796649,19-03-2022,9:55,9:60,Windy,Low,0,Buffet,motorcycle,1.000000,No,Urban
107,0x4720,PUNERES07DEL02,26.000000,4.600000,18.546947,73.900626,18.676947,74.030626,10-03-2022,22:60,23:15,Stormy,Low,2,Buffet,electric_scooter,1.000000,No,Metropolitian
108,0x5691,VADRES05DEL01,30.000000,4.400000,22.310526,73.170937,22.380526,73.240937,08-03-2022,18:60,19:05,Sandstorms,Medium,0,Buffet,motorcycle,3.000000,Yes,Semi-Urban
109,0xb8f1,MUMRES02DEL03,34.000000,4.000000,19.221315,72.862381,19.281315,72.922381,11-03-2022,18:50,18:60,Windy,Medium,1,Buffet,motorcycle,1.000000,No,Metropolitian
110,0xc790,GOARES010DEL02,28.000000,4.000000,15.546594,73.760431,15.676594,73.890431,16-02-2022,21:10,21:25,Fog,Jam,1,Snack,motorcycle,2.000000,No,Urban
111,0x3234,INDORES05DEL01,24.000000,4.000000,22.727021,75.884167,22.797021,75.954167,02-03-2022,19:35,19:50,Sandstorms,Jam,0,Buffet,motorcycle,1.000000,No,Metropolitian
112,0xb2be,RANCHIRES05DEL02,21.000000,4.900000,23.355164,85.324097,23.485164,85.454097,04-03-2022,22:40,22:45,Windy,Low,0,Drinks,motorcycle,0.000000,No,Urban
113,0x7f50,COIMBRES010DEL03,24.000000,4.900000,11.003008,76.975440,11.063009,77.035440,13-03-2022,17:10,17:15,Sandstorms,Medium,0,Buffet,motorcycle,1.000000,No,Metropolitian
114,0x6fd1,JAPRES20DEL01,25.000000,4.700000,26.956431,75.776649,27.066431,75.886649,02-03-2022,22:25,22:40,Windy,Low,1,Meal,motorcycle,0.000000,No,Urban
115,0x5a8b,SURRES010DEL02,36.000000,4.500000,21.171060,72.789292,21.191060,72.809292,11-03-2022,11:30,11:45,Sandstorms,High,2,Meal,electric_scooter,1.000000,No,Urban
116,0x714d,MYSRES09DEL02,37.000000,4.600000,12.323194,76.630583,12.343194,76.650583,19-03-2022,10:25,10:30,Cloudy,Low,2,Drinks,scooter,NaN,No,Metropolitian
117,0x4bff,VADRES15DEL03,22.00,4.70,0.00,0.00,0.03,0.03,05-04-2022,23:60,24:05,Fog,Low,2,Drinks,scooter,1.00,No,Metropolitian
118,0x9925,RANCHIRES09DEL03,37.000000,4.900000,23.351058,85.325731,23.441058,85.415731,31-03-2022,22:50,22:60,Sandstorms,Low,1,Buffet,scooter,1.000000,No,Metropolitian
119,0x6fd6,CHENRES17DEL01,23.000000,4.700000,13.045479,80.233110,13.155479,80.343110,16-03-2022,18:25,18:40,Stormy,Medium,1,Drinks,motorcycle,1.000000,No,Metropolitian
120,0x2872,BANGRES04DEL01,29.000000,4.900000,12.980410,77.640489,13.090410,77.750489,23-03-2022,21:55,22:05,Windy,Jam,1,Buffet,scooter,0.000000,No,Metropolitian
121,0x66c,COIMBRES20DEL02,NaN,NaN,10.994136,76.963303,11.014136,76.983303,05-03-2022,NaN,11:35,Windy,High,2,Drinks,electric_scooter,0.000000,No,Urban
122,0x90f7,PUNERES010DEL03,31.000000,4.700000,18.539299,73.897902,18.569299,73.927902,26-03-2022,21:20,21:30,Windy,Jam,1,Drinks,motorcycle,1.000000,No,Metropolitian
123,0xddd,PUNERES010DEL02,NaN,NaN,18.539299,73.897902,18.669299,74.027902,25-03-2022,NaN,23:35,Cloudy,Low,2,Drinks,scooter,1.000000,No,Metropolitian
124,0x2a29,VADRES05DEL02,39.000000,4.300000,22.310526,73.170937,22.440526,73.300937,02-04-2022,20:60,21:15,Sandstorms,Jam,0,Buffet,motorcycle,0.000000,No,Metropolitian
125,0x7eb3,JAPRES17DEL03,22.000000,4.600000,26.892312,75.806896,26.952313,75.866896,05-03-2022,21:55,22:05,Windy,Jam,2,Snack,scooter,1.000000,No,Metropolitian
126,0x6d17,JAPRES13DEL03,31.000000,4.800000,26.846156,75.802300,26.906156,75.862300,21-03-2022,19:20,19:25,Sandstorms,Jam,2,Drinks,scooter,1.000000,No,Metropolitian
127,0x7134,RANCHIRES01DEL02,24.000000,4.700000,23.416792,85.316842,23.496792,85.396842,20-03-2022,18:25,18:35,Windy,Medium,1,Drinks,scooter,1.000000,No,Metropolitian
128,0xa4f0,BANGRES05DEL02,30.000000,4.900000,12.970324,77.645748,13.050324,77.725748,04-03-2022,19:40,19:45,Sunny,Jam,1,Snack,scooter,1.000000,No,Metropolitian
129,0x213f,VADRES14DEL03,23.000000,4.100000,22.311603,73.165012,22.371603,73.225012,05-04-2022,23:25,23:35,Sandstorms,Low,0,Buffet,motorcycle,1.000000,No,Urban
130,0x70e8,BANGRES04DEL01,36.000000,5.000000,12.980410,77.640489,13.050410,77.710489,02-03-2022,17:15,17:30,Stormy,Medium,0,Meal,motorcycle,1.000000,No,Metropolitian
131,0x8556,BANGRES08DEL03,32.000000,4.800000,12.906229,77.596791,12.966229,77.656791,11-03-2022,21:15,21:25,Fog,Jam,1,Drinks,motorcycle,0.000000,No,Metropolitian
132,0xaae6,MYSRES20DEL01,30.000000,4.300000,12.337978,76.616792,12.377978,76.656792,09-03-2022,14:50,14:55,Sandstorms,High,1,Meal,scooter,1.000000,No,Metropolitian
133,0x9724,PUNERES010DEL02,24.000000,4.600000,18.539299,73.897902,18.619299,73.977902,12-03-2022,20:50,20:55,Windy,Jam,1,Buffet,motorcycle,0.000000,No,Urban
134,0x6208,MYSRES14DEL01,25.00,4.70,0.00,0.00,0.04,0.04,01-04-2022,15:10,15:20,Sandstorms,Medium,2,Meal,electric_scooter,1.00,No,Metropolitian
135,0x5164,HYDRES14DEL02,26.000000,4.700000,17.426228,78.407495,17.556228,78.537495,04-04-2022,21:30,21:40,Sunny,Jam,1,Snack,scooter,1.000000,No,Metropolitian
136,0xa70e,INDORES06DEL03,35.000000,4.800000,22.728163,75.884212,22.788163,75.944212,26-03-2022,17:10,17:25,Cloudy,Medium,2,Meal,scooter,0.000000,No,Metropolitian
137,0x6afb,MYSRES16DEL01,28.000000,4.800000,12.316967,76.603067,12.356967,76.643067,30-03-2022,13:15,13:30,Windy,High,0,Snack,motorcycle,1.000000,No,Metropolitian
138,0xc0f1,LUDHRES19DEL01,39.000000,4.100000,-30.902872,75.826808,31.012872,75.936808,18-02-2022,17:40,17:45,Stormy,Medium,2,Buffet,scooter,1.000000,No,Urban
139,0x76e4,VADRES06DEL01,25.000000,4.600000,22.312790,73.170283,22.422790,73.280283,10-03-2022,20:20,20:30,Windy,Jam,1,Meal,scooter,1.000000,No,Metropolitian
140,0x3d34,MUMRES04DEL03,27.000000,4.800000,19.254567,72.848923,19.284567,72.878923,26-03-2022,23:40,23:45,Sandstorms,Low,1,Snack,motorcycle,0.000000,No,Metropolitian
